release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,genres,director_name,actor_name,release_month,season,movie_profit/loss,top_actor,high_profit
2010-10-15,Conviction,12500000,6797696,11826980,2010,tt7799386,['Drama'],Antoine Raimbault,Olivier Gourmet,October,Fall,-673020,False,0
2010-12-17,Casino Jack,12500000,2039869,2272186,2010,tt1194417,"['Biography', 'Comedy', 'Crime']",George Hickenlooper,Kevin Spacey,December,Winter,-10227814,False,0
2012-10-05,The Paperboy,12500000,677200,4027663,2012,tt1496422,"['Crime', 'Drama', 'Mystery']",Lee Daniels,Matthew McConaughey,October,Fall,-8472337,False,0
2012-05-04,A Little Bit of Heaven,12500000,10011,1100287,2012,tt1440161,"['Comedy', 'Drama', 'Fantasy']",Nicole Kassell,Gael García Bernal,May,Spring,-11399713,False,0
2012-04-20,Think Like a Man,12000000,91547205,113373764,2012,tt1621045,"['Comedy', 'Romance']",Tim Story,Chris Brown,April,Spring,101373764,False,1
1986-12-12,The Golden Child,12000000,79817937,79817937,1986,tt3506476,['Drama'],She Wei Chou,Bryan Shu-Hao Chang,December,Winter,67817937,False,1
2012-02-24,Act of Valor,12000000,70012847,82497035,2012,tt1591479,"['Action', 'Adventure', 'Drama']",Mike McCoy,Alex Veadov,February,Winter,70497035,False,1
1985-02-08,Witness,12000000,65532576,65532576,1985,tt2802196,"['Action', 'Crime', 'Drama']",Zehao Gao,Jack Kao,February,Winter,53532576,False,1
1985-02-08,Witness,12000000,65532576,65532576,1985,tt4361256,['Drama'],Dan G. Dowd,Stu Chaiken,February,Winter,53532576,False,1
1985-02-08,Witness,12000000,65532576,65532576,1985,tt7909340,['Western'],Aykan Yucel Irwins,Kieran Evans,February,Winter,53532576,False,1
1985-02-08,Witness,12000000,65532576,65532576,1985,tt9596642,['Drama'],Marcello Daciano,Gerardo de Pablos,February,Winter,53532576,False,1
2006-08-11,Step Up,12000000,65328121,110989157,2006,tt2516968,"['Biography', 'Documentary', 'Drama']",Noube Rateau,Nicolas Cage,August,Summer,98989157,False,1
2012-02-03,Chronicle,12000000,64575175,123681790,2012,tt1706593,"['Drama', 'Sci-Fi', 'Thriller']",Josh Trank,Dane DeHaan,February,Winter,111681790,False,1
2012-03-02,Project X,12000000,54731865,103028188,2012,tt1636826,['Comedy'],Nima Nourizadeh,Thomas Mann,March,Spring,91028188,False,1
2012-03-02,Project X,12000000,54731865,103028188,2012,tt5902440,['Mystery'],Michael Giannantonio,Nicolas Cage,March,Spring,91028188,False,1
2018-05-04,Overboard,12000000,50316123,85369830,2018,tt1563742,"['Comedy', 'Romance']",Rob Greenberg,Eugenio Derbez,May,Spring,73369830,False,1
2013-11-22,Philomena,12000000,37709979,98963392,2013,tt2431286,"['Biography', 'Comedy', 'Drama']",Stephen Frears,Steve Coogan,November,Fall,86963392,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt1842448,['Drama'],Masatoshi Kurakata,Masahiko Nishimura,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt1848834,"['Action', 'Crime', 'Drama']",Edris Ne,Mohammed Zeeshan Ayyub,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt1858813,['Documentary'],Rayda Jacobs,Nicolas Cage,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt1980074,['Action'],Rydell Danzie,Rydell Danzie,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt2190231,['Comedy'],Charliebebs Gohetia,Felix Roco,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt2219370,"['Drama', 'Mystery', 'War']",Faysal Soysal,Riza Akin,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt4080474,['Documentary'],Anastasiya Miroshnichenko,Valery Liashkevich,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt5459744,['Documentary'],Junichi Suzuki,Kota Ibushi,February,Winter,45000000,False,1
2002-02-15,Crossroads,12000000,37188667,57000000,2002,tt8106586,['Documentary'],Ron Yassen,Nicolas Cage,February,Winter,45000000,False,1
2015-07-24,Paper Towns,12000000,32000304,85450484,2015,tt3622592,"['Comedy', 'Drama', 'Mystery']",Jake Schreier,Nat Wolff,July,Summer,73450484,False,1
2016-08-12,Hell or High Water,12000000,27007844,37584304,2016,tt2582782,"['Action', 'Crime', 'Drama']",David Mackenzie,Chris Pine,August,Summer,25584304,False,1
2012-07-05,Katy Perry: Part of Me,12000000,25326071,32700439,2012,tt2215719,"['Documentary', 'Music']",Jane Lipsitz,Nicolas Cage,July,Summer,20700439,False,1
2014-12-12,Top Five,12000000,25317379,26001741,2014,tt2784678,"['Comedy', 'Romance']",Chris Rock,Chris Rock,December,Winter,14001741,False,1
1979-06-15,Prophecy,12000000,22673340,22673340,1979,tt3952226,['Mystery'],Yoshihiro Nakamura,Tôma Ikuta,June,Summer,10673340,False,1
1979-06-15,Prophecy,12000000,22673340,22673340,1979,tt4819134,['Drama'],Zuri Rinpoche,Lekzin Choden,June,Summer,10673340,False,1
